feature,importance
binary__is_trading_day,0.05594405594405594
counts__likeCount,0.04895104895104896
counts__nasdaq_volatility_std_10,0.04195804195804198
counts__retweetCount,0.034965034965035
counts__tesla,0.034965034965035
counts__nasdaq_stockprice_macd_line,0.027972027972028024
counts__interest,0.020979020979021046
counts__model,0.013986013986014068
counts__nasdaq_avg_volume_20,0.013986013986014068
counts__starship,0.013986013986014068
counts__tweet_count,0.013986013986014068
scores__surprise,0.013986013986014068
scores__neu,0.013986013986014068
scores__polarized,0.013986013986014068
scores__Agreeableness,0.013986013986014068
scores__disgust,0.013986013986014068
scores__other_hobbies,0.006993006993006978
scores__relationships,0.006993006993006978
scores__youth_student_life,0.006993006993006978
scores__Openness,0.006993006993006978
scores__business_entrepreneurs,0.006993006993006978
scores__celebrity_pop_culture,0.006993006993006978
scores__anger,0.006993006993006978
scores__Conscientiousness,0.006993006993006978
scores__Extroversion,0.006993006993006978
scores__news_social_concern,0.006993006993006978
scores__family,0.006993006993006978
counts__replyCount,0.006993006993006978
counts__nasdaq_stockprice_ema_26,0.006993006993006978
counts__nasdaq_adx_14,0.006993006993006978
scores__neg,0.006993006993006978
scores__fashion_style,0.006993006993006978
scores__film_tv_video,0.006993006993006978
scores__travel_adventure,0.006993006993006978
scores__science_technology,0.006993006993006978
counts__nasdaq_stockprice_bb_upper_20,0.006993006993006978
counts__quoteCount,0.006993006993006978
counts__nasdaq_volume,0.006993006993006978
scores__neutral,0.006993006993006978
scores__sadness,0.006993006993006978
counts__market,0.0
counts__price,0.0
counts__stock,0.0
counts__bitcoin,0.0
counts__revenue,0.0
counts__crypto,0.0
binary__no_tweets,0.0
scores__learning_educational,0.0
scores__gaming,0.0
scores__food_&_dining,0.0
counts__dogecoin,0.0
scores__joy,0.0
scores__diaries_daily_life,0.0
scores__music,0.0
scores__fitness_&_health,0.0
counts__ethereum,0.0
counts__nasdaq_stockprice,0.0
counts__spacex,0.0
counts__nasdaq_stockprice_momentum_21,0.0
scores__pos,0.0
counts__nasdaq_stockprice_bb_lower_20,0.0
scores__fear,0.0
counts__nasdaq_volume_spike_20,-0.006993006993006978
scores__Neuroticism,-0.006993006993006978
counts__nasdaq_stockprice_bb_mean_20,-0.006993006993006978
counts__loss,-0.006993006993006978
counts__cybertruck,-0.006993006993006978
counts__buy,-0.006993006993006978
counts__nasdaq_volatility,-0.006993006993006978
counts__nasdaq_stockprice_sma_20,-0.006993006993006978
scores__arts_culture,-0.006993006993006978
scores__sports,-0.006993006993006978
counts__nasdaq_obv,-0.006993006993006978
counts__nasdaq_stockprice_rsi_14,-0.013986013986013957
counts__profit,-0.020979020979020935
counts__inflation,-0.020979020979020935
counts__nlp_tweet_count,-0.020979020979020935
counts__sell,-0.04195804195804187
