feature,importance
counts__tweet_count,0.04895104895104896
counts__likeCount,0.034965034965035
binary__is_trading_day,0.034965034965035
counts__tesla_stockprice_macd_line,0.027972027972027913
counts__buy,0.020979020979020935
counts__retweetCount,0.020979020979020935
counts__tesla_stockprice_bb_upper_20,0.020979020979020935
counts__replyCount,0.013986013986013957
counts__starship,0.013986013986013957
counts__tesla_volume_spike_20,0.013986013986013957
scores__science_technology,0.013986013986013957
counts__interest,0.006993006993006978
counts__inflation,0.006993006993006978
counts__loss,0.006993006993006978
scores__youth_student_life,0.006993006993006978
scores__celebrity_pop_culture,0.006993006993006978
counts__tesla_volume,0.006993006993006978
counts__tesla_volatility,0.006993006993006978
scores__Openness,0.006993006993006978
counts__tesla_stockprice_momentum_21,0.006993006993006978
scores__Extroversion,0.006993006993006978
scores__sports,0.0
counts__price,0.0
counts__bitcoin,0.0
scores__other_hobbies,0.0
scores__news_social_concern,0.0
scores__travel_adventure,0.0
binary__no_tweets,0.0
counts__crypto,0.0
counts__dogecoin,0.0
scores__relationships,0.0
scores__neu,0.0
counts__tesla_stockprice_bb_mean_20,0.0
counts__tesla_stockprice_rsi_14,0.0
scores__learning_educational,0.0
scores__gaming,0.0
scores__fitness_&_health,0.0
scores__food_&_dining,0.0
scores__joy,0.0
scores__Agreeableness,0.0
scores__arts_culture,0.0
scores__fashion_style,0.0
counts__quoteCount,0.0
counts__model,0.0
scores__polarized,0.0
counts__ethereum,0.0
scores__family,0.0
scores__business_entrepreneurs,0.0
scores__sadness,0.0
scores__fear,-0.006993006993006978
counts__market,-0.006993006993006978
counts__revenue,-0.006993006993006978
scores__film_tv_video,-0.006993006993006978
scores__disgust,-0.006993006993006978
scores__music,-0.006993006993006978
counts__sell,-0.006993006993006978
counts__spacex,-0.006993006993006978
counts__cybertruck,-0.006993006993006978
counts__tesla_avg_volume_20,-0.006993006993006978
counts__tesla_stockprice,-0.006993006993006978
scores__pos,-0.006993006993006978
counts__tesla_stockprice_ema_26,-0.006993006993006978
scores__Conscientiousness,-0.006993006993006978
counts__tesla_obv,-0.006993006993006978
counts__profit,-0.013986013986013957
counts__tesla,-0.013986013986013957
scores__neutral,-0.013986013986013957
scores__diaries_daily_life,-0.013986013986013957
counts__tesla_adx_14,-0.013986013986013957
scores__neg,-0.013986013986013957
scores__Neuroticism,-0.013986013986013957
scores__anger,-0.013986013986013957
counts__tesla_stockprice_sma_20,-0.013986013986013957
counts__nlp_tweet_count,-0.020979020979021046
scores__surprise,-0.020979020979021046
counts__tesla_stockprice_bb_lower_20,-0.020979020979021046
counts__stock,-0.027972027972028024
counts__tesla_volatility_std_10,-0.04195804195804198
