feature,importance
counts__replyCount,0.05232558139534882
counts__spacex,0.04069767441860472
scores__neg,0.03488372093023262
counts__nasdaq_stockprice_macd_line,0.023255813953488413
scores__anger,0.023255813953488413
scores__fear,0.023255813953488413
counts__nasdaq_stockprice_momentum_21,0.01744186046511631
scores__pos,0.01744186046511631
counts__tweet_count,0.01744186046511631
scores__diaries_daily_life,0.01744186046511631
scores__Extroversion,0.01744186046511631
counts__buy,0.01744186046511631
counts__dogecoin,0.011627906976744207
counts__stock,0.011627906976744207
scores__sadness,0.011627906976744207
counts__nasdaq_stockprice,0.011627906976744207
scores__neu,0.011627906976744207
counts__nasdaq_adx_14,0.011627906976744207
counts__quoteCount,0.011627906976744207
counts__sell,0.011627906976744207
binary__is_trading_day,0.005813953488372103
scores__science_technology,0.005813953488372103
scores__disgust,0.005813953488372103
counts__crypto,0.005813953488372103
counts__price,0.005813953488372103
counts__cybertruck,0.005813953488372103
scores__fashion_style,0.005813953488372103
scores__youth_student_life,0.005813953488372103
scores__Conscientiousness,0.005813953488372103
scores__celebrity_pop_culture,0.005813953488372103
scores__news_social_concern,0.005813953488372103
counts__nasdaq_volume,0.005813953488372103
scores__joy,0.005813953488372103
scores__polarized,0.005813953488372103
counts__nasdaq_avg_volume_20,0.005813953488372103
counts__likeCount,0.005813953488372103
counts__starship,0.005813953488372103
counts__model,0.005813953488372103
scores__surprise,0.005813953488372103
counts__tesla,0.0
scores__music,0.0
scores__relationships,0.0
binary__no_tweets,0.0
scores__travel_adventure,0.0
counts__bitcoin,0.0
counts__profit,0.0
scores__food_&_dining,0.0
scores__fitness_&_health,0.0
counts__nasdaq_stockprice_bb_upper_20,0.0
counts__nasdaq_stockprice_rsi_14,0.0
scores__gaming,0.0
counts__nasdaq_volume_spike_20,0.0
counts__nasdaq_stockprice_bb_lower_20,0.0
counts__nasdaq_obv,0.0
counts__ethereum,0.0
counts__nasdaq_volatility,0.0
scores__Neuroticism,0.0
scores__learning_educational,0.0
counts__market,-0.005813953488372103
counts__inflation,-0.005813953488372103
counts__revenue,-0.005813953488372103
counts__loss,-0.005813953488372103
scores__family,-0.005813953488372103
counts__interest,-0.005813953488372103
scores__arts_culture,-0.005813953488372103
counts__nasdaq_stockprice_ema_26,-0.005813953488372103
counts__nasdaq_volatility_std_10,-0.005813953488372103
scores__business_entrepreneurs,-0.005813953488372103
counts__nasdaq_stockprice_sma_20,-0.005813953488372103
scores__neutral,-0.005813953488372103
scores__other_hobbies,-0.005813953488372103
scores__film_tv_video,-0.005813953488372103
scores__Agreeableness,-0.005813953488372103
scores__Openness,-0.005813953488372103
scores__sports,-0.005813953488372103
counts__nasdaq_stockprice_bb_mean_20,-0.011627906976744207
counts__nlp_tweet_count,-0.01744186046511631
counts__retweetCount,-0.023255813953488302
