feature,importance
counts__spacex,0.029069767441860517
scores__Extroversion,0.029069767441860517
scores__Conscientiousness,0.01744186046511631
scores__music,0.01744186046511631
scores__joy,0.01744186046511631
counts__sp500_stoch_d_3,0.011627906976744207
counts__sp500_stockprice_rsi_14,0.011627906976744207
counts__sp500_stockprice_ema_26,0.011627906976744207
counts__sp500_avg_volume_20,0.011627906976744207
counts__sell,0.011627906976744207
counts__quoteCount,0.011627906976744207
counts__tweet_count,0.011627906976744207
scores__Neuroticism,0.011627906976744207
scores__arts_culture,0.011627906976744207
scores__diaries_daily_life,0.011627906976744207
binary__no_tweets,0.011627906976744207
counts__sp500_adx_14,0.011627906976744207
scores__travel_adventure,0.005813953488372103
scores__relationships,0.005813953488372103
counts__sp500_dx_14,0.005813953488372103
counts__cybertruck,0.005813953488372103
counts__ethereum,0.005813953488372103
scores__Openness,0.005813953488372103
scores__surprise,0.005813953488372103
counts__dogecoin,0.0
counts__nlp_tweet_count,0.0
counts__market,0.0
counts__revenue,0.0
counts__bitcoin,0.0
scores__youth_student_life,0.0
scores__fitness_&_health,0.0
scores__gaming,0.0
scores__celebrity_pop_culture,0.0
scores__science_technology,0.0
scores__family,0.0
counts__sp500_stockprice_macd_line,0.0
counts__sp500_stockprice_sma_20,0.0
counts__sp500_stockprice_roc_7,0.0
counts__sp500_stockprice_roc_21,0.0
binary__is_trading_day,0.0
counts__inflation,0.0
counts__crypto,0.0
counts__starship,0.0
counts__model,0.0
counts__likeCount,0.0
counts__profit,0.0
counts__loss,0.0
scores__Agreeableness,0.0
counts__sp500_stockprice_momentum_7,0.0
counts__sp500_obv,0.0
counts__sp500_stockprice_bb_upper_20,0.0
counts__sp500_stockprice_bb_lower_20,0.0
scores__polarized,0.0
counts__price,-0.005813953488372103
counts__stock,-0.005813953488372103
counts__interest,-0.005813953488372103
counts__sp500_volatility,-0.005813953488372103
counts__sp500_volume,-0.005813953488372103
counts__retweetCount,-0.005813953488372103
counts__buy,-0.005813953488372103
counts__sp500_volatility_std_10,-0.005813953488372103
scores__fashion_style,-0.005813953488372103
scores__food_&_dining,-0.005813953488372103
scores__neutral,-0.005813953488372103
scores__learning_educational,-0.005813953488372103
scores__sadness,-0.005813953488372103
scores__anger,-0.005813953488372103
scores__neg,-0.005813953488372103
scores__pos,-0.005813953488372103
counts__sp500_volume_spike_20,-0.005813953488372103
counts__sp500_stockprice_macd_signal,-0.005813953488372103
counts__sp500_stockprice_sma_100,-0.005813953488372103
counts__sp500_stockprice_sma_10,-0.005813953488372103
counts__sp500_stockprice_macd_hist,-0.005813953488372103
counts__sp500_atr_14,-0.005813953488372103
counts__sp500_stockprice_momentum_21,-0.005813953488372103
counts__sp500_stockprice_sma_5,-0.005813953488372103
scores__fear,-0.005813953488372103
scores__other_hobbies,-0.011627906976744207
counts__tesla,-0.011627906976744207
counts__sp500_stockprice,-0.011627906976744207
counts__sp500_stockprice_ema_12,-0.011627906976744207
counts__sp500_stockprice_sma_50,-0.011627906976744207
scores__film_tv_video,-0.011627906976744207
scores__neu,-0.011627906976744207
scores__business_entrepreneurs,-0.011627906976744207
scores__news_social_concern,-0.01744186046511631
counts__sp500_stockprice_bb_mean_20,-0.01744186046511631
counts__sp500_pdi_14,-0.01744186046511631
scores__disgust,-0.01744186046511631
counts__sp500_mdi_14,-0.023255813953488413
scores__sports,-0.029069767441860406
counts__replyCount,-0.03488372093023251
