feature,importance
counts__tesla,0.030927835051546393
counts__model,0.030927835051546393
counts__retweetCount,0.02061855670103091
counts__cybertruck,0.02061855670103091
counts__buy,0.02061855670103091
counts__sp500_volatility_std_10,0.02061855670103091
counts__sp500_pdi_14,0.02061855670103091
scores__pos,0.02061855670103091
counts__sp500_stockprice_roc_21,0.02061855670103091
scores__joy,0.02061855670103091
counts__sell,0.010309278350515427
counts__replyCount,0.010309278350515427
counts__quoteCount,0.010309278350515427
counts__sp500_avg_volume_20,0.010309278350515427
binary__is_trading_day,0.010309278350515427
counts__sp500_stockprice_ema_12,0.010309278350515427
counts__sp500_obv,0.010309278350515427
scores__relationships,0.010309278350515427
scores__arts_culture,0.010309278350515427
scores__travel_adventure,0.010309278350515427
scores__sports,0.010309278350515427
counts__profit,0.010309278350515427
counts__sp500_stockprice,0.0
counts__ethereum,0.0
counts__crypto,0.0
counts__likeCount,0.0
counts__revenue,0.0
counts__price,0.0
counts__loss,0.0
scores__youth_student_life,0.0
scores__fear,0.0
scores__diaries_daily_life,0.0
scores__family,0.0
scores__music,0.0
scores__fashion_style,0.0
scores__gaming,0.0
counts__sp500_volume,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
scores__neu,0.0
counts__sp500_atr_14,0.0
scores__neg,0.0
counts__sp500_volume_spike_20,0.0
scores__anger,0.0
scores__disgust,0.0
scores__business_entrepreneurs,0.0
counts__sp500_stockprice_ema_26,0.0
scores__polarized,0.0
scores__news_social_concern,0.0
scores__science_technology,0.0
scores__food_&_dining,0.0
binary__no_tweets,0.0
counts__sp500_stockprice_macd_signal,-0.010309278350515427
counts__sp500_stockprice_sma_100,-0.010309278350515427
counts__sp500_stockprice_macd_line,-0.010309278350515427
scores__learning_educational,-0.010309278350515427
scores__fitness_&_health,-0.010309278350515427
counts__market,-0.010309278350515427
scores__surprise,-0.010309278350515427
scores__film_tv_video,-0.010309278350515427
scores__other_hobbies,-0.010309278350515427
scores__Conscientiousness,-0.010309278350515427
counts__sp500_stockprice_macd_hist,-0.010309278350515427
counts__sp500_stockprice_bb_lower_20,-0.010309278350515427
counts__sp500_stockprice_roc_7,-0.010309278350515427
scores__Openness,-0.010309278350515427
counts__sp500_adx_14,-0.010309278350515427
counts__sp500_stockprice_rsi_14,-0.010309278350515427
counts__sp500_stockprice_bb_mean_20,-0.010309278350515427
counts__sp500_stockprice_bb_upper_20,-0.010309278350515427
counts__sp500_stockprice_sma_5,-0.010309278350515427
counts__sp500_mdi_14,-0.010309278350515427
counts__nlp_tweet_count,-0.020618556701030966
counts__stock,-0.020618556701030966
counts__starship,-0.020618556701030966
scores__celebrity_pop_culture,-0.020618556701030966
counts__sp500_volatility,-0.020618556701030966
counts__spacex,-0.020618556701030966
counts__sp500_stoch_d_3,-0.020618556701030966
counts__sp500_stockprice_sma_20,-0.020618556701030966
counts__sp500_stockprice_sma_50,-0.020618556701030966
counts__sp500_stockprice_momentum_7,-0.020618556701030966
counts__sp500_dx_14,-0.020618556701030966
scores__Neuroticism,-0.020618556701030966
counts__sp500_stockprice_momentum_21,-0.020618556701030966
scores__Extroversion,-0.020618556701030966
counts__tweet_count,-0.030927835051546393
counts__sp500_stockprice_sma_10,-0.030927835051546393
scores__neutral,-0.030927835051546393
scores__Agreeableness,-0.030927835051546393
scores__sadness,-0.04123711340206182
